,Item Description,Duration,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal1,Andaman & Nicobar Islands,Chandigarh,Delhi,Puducherry,All_India NDP
0,NSDP - CURRENT PRICES (` in Crore),2011-12,339996.0,10229.0,129354.0,228497.0,142273.0,38009.0,532809.0,271152.0,60536.0,67272.0,137383.0,552720.0,328021.0,282370.0,1119192.0,11501.0,18028.0,6404.0,10217.0,201111.0,239227.0,396960.0,9742.0,674478.0,325138.0,17419.0,645130.0,102156.0,,3404.0,16930.0,314619.0,15160.0,7818898.0
1,NSDP - CURRENT PRICES (` in Crore),2012-13,370196.0,11617.0,142039.0,261327.0,159431.0,34567.0,634572.0,314353.0,69432.0,72963.0,160304.0,632211.0,371384.0,333936.0,1271017.0,12193.0,19653.0,7375.0,11816.0,229888.0,267116.0,446835.0,10817.0,768951.0,363929.0,19631.0,733505.0,117264.0,,3793.0,19507.0,357251.0,16984.0,8886659.0
2,NSDP - CURRENT PRICES (` in Crore),2013-14,413164.0,13398.0,160442.0,292143.0,185939.0,32043.0,707456.0,363590.0,80129.0,79966.0,172030.0,747788.0,417265.0,391369.0,1450003.0,14456.0,20415.0,8989.0,14545.0,256211.0,301673.0,497403.0,12203.0,861429.0,408887.0,23329.0,837614.0,132556.0,,4424.0,22290.0,404664.0,19778.0,10041060.0
3,NSDP - CURRENT PRICES (` in Crore),2014-15,469909.0,15410.0,178479.0,345571.0,211016.0,36290.0,789949.0,395890.0,88196.0,83217.0,198386.0,843918.0,473045.0,429896.0,1572037.0,16189.0,21838.0,10136.0,16137.0,282322.0,332999.0,554783.0,13318.0,970953.0,462636.0,27484.0,925437.0,142628.0,,5025.0,25061.0,447435.0,21776.0,11108576.0
4,NSDP - CURRENT PRICES (` in Crore),2015-16,545638.0,17229.0,201758.0,382223.0,233023.0,40659.0,886092.0,438140.0,,98063.0,223234.0,940006.0,531126.0,483969.0,,,23936.0,,,300236.0,,,14558.0,1080461.0,522412.0,,1024222.0,162168.0,,,27341.0,501104.0,24220.0,12242873.0
5,NSDP - CURRENT PRICES (` in Crore),2016-17,620974.0,,,,256346.0,,,494090.0,,,,,,571934.0,,,26505.0,,,334067.0,,,,1193578.0,593930.0,,,,,,,565655.0,27511.0,13653519.0
6,(% Growth over previous year),2012-13,8.88,13.57,9.81,14.37,12.06,-9.05,19.1,15.93,14.7,8.46,16.68,14.38,13.22,18.26,13.57,6.01,9.01,15.17,15.65,14.31,11.66,12.56,11.03,14.01,11.93,12.7,13.7,14.79,,11.44,15.23,13.55,12.04,13.65
7,(% Growth over previous year),2013-14,11.61,15.32,12.96,11.79,16.63,-7.3,11.49,15.66,15.41,9.6,7.31,18.28,12.35,17.2,14.08,18.56,3.88,21.88,23.1,11.45,12.94,11.32,12.82,12.03,12.35,18.84,14.19,13.04,,16.64,14.26,13.27,16.45,12.99
8,(% Growth over previous year),2014-15,13.73,15.02,11.24,18.29,13.49,13.26,11.66,8.88,10.07,4.07,15.32,12.86,13.37,9.84,8.42,11.99,6.97,12.76,10.94,10.19,10.38,11.54,9.14,12.71,13.15,17.81,10.48,7.6,,13.56,12.43,10.57,10.1,10.63
9,(% Growth over previous year),2015-16,16.12,11.8,,10.61,,,,,,,12.52,11.39,,12.58,,,9.61,,,6.35,,,9.31,11.28,12.92,,10.67,13.7,,,9.1,11.99,11.23,10.21
